ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R03185,monodehydroascorbate:acceptor oxidoreductase,2 Monodehydroascorbate + Acceptor <=> 2 Dehydroascorbate + Reduced acceptor,2 C01041 + C00028 <=> 2 C05422 + C00030,,,,,,rn00053: Ascorbate and aldarate metabolism///rn01100: Metabolic pathways,,,,
R03186,,2 Monodehydroascorbate <=> Dehydroascorbate + Ascorbate,2 C01041 <=> C05422 + C00072,1.11.1.11,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.11///     R03186  2 Monodehydroascorbate <=> Dehydroascorbate + Ascorbate,30270,"spontaneous///second step of two-step reaction (R00644, R09540+R03186)",,rn00053: Ascorbate and aldarate metabolism///rn01100: Metabolic pathways,,,,
R03187,"N-methylimidazolidine-2,4-dione amidohydrolase (ATP-hydrolysing)",ATP + N-Methylhydantoin + 2 H2O <=> ADP + Orthophosphate + N-Carbamoylsarcosine,C00002 + C02565 + 2 C00001 <=> C00008 + C00009 + C01043,3.5.2.14,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.2  In cyclic amides///    3.5.2.14///     R03187  ATP + N-Methylhydantoin + 2 H2O <=> ADP + Orthophosphate + N-Carbamoylsarcosine",11723,,RC00002  C00002_C00008///RC00632  C01043_C02565,rn00330: Arginine and proline metabolism///rn01100: Metabolic pathways,N-methylhydantoinase A [EC:3.5.2.14]///N-methylhydantoinase B [EC:3.5.2.14],,,
R03188,N-formimino-L-aspartate iminohydrolase,N-Formimino-L-aspartate + H2O <=> N-Formyl-L-aspartate + Ammonia,C03409 + C00001 <=> C01044 + C00014,3.5.3.5,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.3  In linear amidines///    3.5.3.5///     R03188  N-Formimino-L-aspartate + H2O <=> N-Formyl-L-aspartate + Ammonia",13664,,RC00682  C01044_C03409,rn00340: Histidine metabolism///rn01100: Metabolic pathways,,,,
R03189,5-formyltetrahydrofolate:L-glutamate N-formiminotransferase,Folinic acid + L-Glutamate <=> Tetrahydrofolate + N-Formyl-L-glutamate,C03479 + C00025 <=> C00101 + C01045,2.1.2.5,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.1  Transferring one-carbon groups///   2.1.2  Hydroxymethyl-, formyl- and related transferases///    2.1.2.5///     R03189  Folinic acid + L-Glutamate <=> Tetrahydrofolate + N-Formyl-L-glutamate",23243,,RC00165  C00025_C01045///RC00870  C00101_C03479,rn00670: One carbon pool by folate///rn01100: Metabolic pathways,glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]///glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4],,,
R03190,UDPglucose:phosphopolyprenol D-glucosyltransferase,UDP-glucose + Polyprenyl phosphate <=> UDP + Polyprenylphosphate-glucose,C00029 + C01048 <=> C00015 + C03799,2.4.1.78,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.78///     R03190  UDP-glucose + Polyprenyl phosphate <=> UDP + Polyprenylphosphate-glucose,,,RC00005  C00015_C00029  C01048_C03799,,,,,
R03191,UDP-N-acetylmuramate:NADP+ oxidoreductase,UDP-N-acetylmuramate + NAD+ <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADH + H+,C01050 + C00003 <=> C04631 + C00004 + C00080,1.3.1.98,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.3  Acting on the CH-CH group of donors///   1.3.1  With NAD+ or NADP+ as acceptor///    1.3.1.98///     R03191  UDP-N-acetylmuramate + NAD+ <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADH + H+,,NADP+ (see R03192),RC00001  C00003_C00004///RC02639  C01050_C04631,rn00520: Amino sugar and nucleotide sugar metabolism///rn00550: Peptidoglycan biosynthesis///rn01100: Metabolic pathways,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],,,
R03192,UDP-N-acetylmuramate:NADP+ oxidoreductase,UDP-N-acetylmuramate + NADP+ <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADPH + H+,C01050 + C00006 <=> C04631 + C00005 + C00080,1.3.1.98,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.3  Acting on the CH-CH group of donors///   1.3.1  With NAD+ or NADP+ as acceptor///    1.3.1.98///     R03192  UDP-N-acetylmuramate + NADP+ <=> UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine + NADPH + H+,12251,NAD+ (see R03191),RC00001  C00005_C00006///RC02639  C01050_C04631,rn00520: Amino sugar and nucleotide sugar metabolism///rn00550: Peptidoglycan biosynthesis///rn01100: Metabolic pathways///rn01250: Biosynthesis of nucleotide sugars,UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98],,,
R03193,UDP-N-acetylmuramate:L-alanine ligase (ADP-forming),ATP + UDP-N-acetylmuramate + L-Alanine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanine,C00002 + C01050 + C00041 <=> C00008 + C00009 + C01212,6.3.2.8,Enzymatic reactions [BR:br08201]/// 6. Ligase reactions///  6.3  Forming carbon-nitrogen bonds///   6.3.2  Acid-D-amino-acid ligases (peptide synthases)///    6.3.2.8///     R03193  ATP + UDP-N-acetylmuramate + L-Alanine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanine,23375,,RC00002  C00002_C00008///RC00064  C00041_C01212///RC00141  C01050_C01212,rn00550: Peptidoglycan biosynthesis///rn01100: Metabolic pathways,UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8],,,
R03194,S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase,2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,2 C00019 + C01051 <=> 2 C00021 + C02463,2.1.1.107,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.1  Transferring one-carbon groups///   2.1.1  Methyltransferases///    2.1.1.107///     R03194  2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2,32462,multifunctional enzyme: siroheme synthase: uroporphyrinogen III methyltransferase (R03194+R03947+R02864)///subsequently R03947///two-step reaction (R07237+R07238),RC00003  C00019_C00021///RC00871  C01051_C02463,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01240: Biosynthesis of cofactors,uroporphyrin-III C-methyltransferase [EC:2.1.1.107]///uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]///uroporphyrin-III C-methyltransferase [EC:2.1.1.107]///uroporphyrin-III C-methyltransferase [EC:2.1.1.107]///uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]///uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],"Siroheme biosynthesis, glutamyl-tRNA => siroheme///Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide///Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide",,
R03195,,Uroporphyrinogen III + Acceptor <=> Uroporphyrin III + 6 H+ + Reduced acceptor,C01051 + C00028 <=> C02469 + 6 C00080 + C00030,,,,oxygen [CPD:C00007] act as acceptor///non-enzymatic,RC00885  C01051_C02469,rn00860: Porphyrin metabolism,,,,
R03197,uroporphyrinogen-III carboxy-lyase,Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2,C01051 <=> C03263 + 4 C00011,4.1.1.37,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.1  Carboxy-lyases///    4.1.1.37///     R03197  Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2,19868,,RC00872  C01051_C03263,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors,uroporphyrinogen decarboxylase [EC:4.1.1.37],"Heme biosynthesis, plants and bacteria, glutamate => heme///Heme biosynthesis, animals and fungi, glycine => heme///Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme",,
R03198,(R)-4-dehydropantoate:NAD+ 4-oxidoreductase,"(R)-4-Dehydropantoate + NAD+ + H2O <=> (R)-3,3-Dimethylmalate + NADH + H+",C01053 + C00003 + C00001 <=> C01088 + C00004 + C00080,1.2.1.33,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.1  With NAD+ or NADP+ as acceptor///    1.2.1.33///     R03198  (R)-4-Dehydropantoate + NAD+ + H2O <=> (R)-3,3-Dimethylmalate + NADH + H+",19352,,RC00001  C00003_C00004///RC00873  C01053_C01088,rn00770: Pantothenate and CoA biosynthesis,,,,
R03199,"(S)-2,3-epoxysqualene mutase (cyclizing, lanosterol-forming)","(S)-2,3-Epoxysqualene <=> Lanosterol",C01054 <=> C01724,5.4.99.7,"Enzymatic reactions [BR:br08201]/// 5. Isomerase reactions///  5.4  Intramolecular transferases///   5.4.99  Transferring other groups///    5.4.99.7///     R03199  (S)-2,3-Epoxysqualene <=> Lanosterol",14624,,RC00874  C01054_C01724,rn00100: Steroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,lanosterol synthase [EC:5.4.99.7],"Cholesterol biosynthesis, FPP => cholesterol///Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol",,
R03200,"(S)-2,3-epoxysqualene mutase (cyclizing, cycloartenol-forming)","(S)-2,3-Epoxysqualene <=> Cycloartenol",C01054 <=> C01902,5.4.99.8,"Enzymatic reactions [BR:br08201]/// 5. Isomerase reactions///  5.4  Intramolecular transferases///   5.4.99  Transferring other groups///    5.4.99.8///     R03200  (S)-2,3-Epoxysqualene <=> Cycloartenol",21311,,RC01582  C01054_C01902,rn00100: Steroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,cycloartenol synthase [EC:5.4.99.8],"Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol",,
R03201,,"(S)-2,3-Epoxysqualene <=> Triterpenoid",C01054 <=> C06085,,,,general reaction,,,,,,
R03202,(S)-6-hydroxynicotine:oxygen oxidoreductase,(S)-6-Hydroxynicotine + H2O + Oxygen <=> 6-Hydroxypseudooxynicotine + Hydrogen peroxide,C01056 + C00001 + C00007 <=> C01297 + C00027,1.5.3.5,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.5  Acting on the CH-NH group of donors///   1.5.3  With oxygen as acceptor///    1.5.3.5///     R03202  (S)-6-Hydroxynicotine + H2O + Oxygen <=> 6-Hydroxypseudooxynicotine + Hydrogen peroxide,11883,two-step reaction (see R11048+R11049),RC00875  C01056_C01297///RC02755  C00007_C00027,,(S)-6-hydroxynicotine oxidase [EC:1.5.3.5],,,
R03203,11beta-hydroxysteroid:NADP+ 11-oxidoreductase,11beta-Hydroxysteroid + NADP+ <=> 11-Oxosteroid + NADPH + H+,C01058 + C00006 <=> C01985 + C00005 + C00080,1.1.1.146,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.1  With NAD+ or NADP+ as acceptor///    1.1.1.146///     R03203  11beta-Hydroxysteroid + NADP+ <=> 11-Oxosteroid + NADPH + H+///IUBMB reaction hierarchy [BR:br08202]/// 1. Oxidoreductase reactions///  1.1.1.146///   R03203  11beta-Hydroxysteroid <=> 11-Oxosteroid,11391,,RC00001  C00005_C00006,,,,,
R03204,"2,5-dihydroxypyridine:oxygen 5,6-oxidoreductase","2,5-Dihydroxypyridine + Oxygen + H2O <=> Maleamate + Formate",C01059 + C00007 + C00001 <=> C01596 + C00058,,,,see R09125+R09126,RC00876  C00058_C01059///RC02711  C01059_C01596,,,,,
R03206,"2-hydroxypyridine,hydrogen-donor:oxygen oxidoreductase (5-hydroxylating)","2-Hydroxypyridine + Reduced acceptor + Oxygen <=> 2,5-Dihydroxypyridine + Acceptor + H2O",C02502 + C00030 + C00007 <=> C01059 + C00028 + C00001,1.14.99.26,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.99  Miscellaneous///    1.14.99.26///     R03206  2-Hydroxypyridine + Reduced acceptor + Oxygen <=> 2,5-Dihydroxypyridine + Acceptor + H2O",16976,,RC00490  C01059_C02502,,,,,
R03207,"3,5-diiodo-L-tyrosine:2-oxoglutarate aminotransferase","3,5-Diiodo-L-tyrosine + 2-Oxoglutarate <=> 3,5-Diiodo-4-hydroxyphenylpyruvate + L-Glutamate",C01060 + C00026 <=> C01244 + C00025,2.6.1.24,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.6  Transferring nitrogenous groups///   2.6.1  Transaminases///    2.6.1.24///     R03207  3,5-Diiodo-L-tyrosine + 2-Oxoglutarate <=> 3,5-Diiodo-4-hydroxyphenylpyruvate + L-Glutamate",19784,,RC00006  C00025_C00026  C01060_C01244,,,,,
R03208,,"2 3,5-Diiodo-L-tyrosine + Hydrogen peroxide <=> Thyroxine + Dehydroalanine + 2 H2O",2 C01060 + C00027 <=> C01829 + C02218 + 2 C00001,1.11.1.8,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.8///     R03208  2 3,5-Diiodo-L-tyrosine + Hydrogen peroxide <=> Thyroxine + Dehydroalanine + 2 H2O",,"thyroid peroxidase, TPO///reaction on thyroglobulin [KO:K10809] (see R08523)",RC00878  C01060_C01829///RC01037  C01060_C02218,rn00350: Tyrosine metabolism///rn01100: Metabolic pathways,thyroid peroxidase [EC:1.11.1.8],"Thyroid hormone biosynthesis, tyrosine => triiodothyronine/thyroxine",,
R03209,6-carboxyhyxanoate:CoA ligase (AMP-forming),ATP + Pimelate + CoA <=> AMP + Diphosphate + Pimeloyl-CoA,C00002 + C02656 + C00010 <=> C00020 + C00013 + C01063,6.2.1.14,Enzymatic reactions [BR:br08201]/// 6. Ligase reactions///  6.2  Forming carbon-sulfur bonds///   6.2.1  Acid-thiol ligases///    6.2.1.14///     R03209  ATP + Pimelate + CoA <=> AMP + Diphosphate + Pimeloyl-CoA,14784,,RC00004  C00010_C01063///RC00014  C01063_C02656,rn00780: Biotin metabolism///rn01100: Metabolic pathways///rn01240: Biosynthesis of cofactors,6-carboxyhexanoate--CoA ligase [EC:6.2.1.14],"Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin",,
R03210,pimeloyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating),Pimeloyl-CoA + L-Alanine <=> 8-Amino-7-oxononanoate + CoA + CO2,C01063 + C00041 <=> C01092 + C00010 + C00011,2.3.1.47,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.3  Acyltransferases///   2.3.1  Transferring groups other than aminoacyl groups///    2.3.1.47///     R03210  Pimeloyl-CoA + L-Alanine <=> 8-Amino-7-oxononanoate + CoA + CO2,20715 42291,,RC00004  C00010_C01063///RC02725  C01063_C01092,rn00780: Biotin metabolism///rn01100: Metabolic pathways///rn01240: Biosynthesis of cofactors,8-amino-7-oxononanoate synthase [EC:2.3.1.47],"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin///Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin///Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin",,
R03211,"cyclohexane-1,3-dione acylhydrolase (decyclizing)","Cyclohexane-1,3-dione + H2O <=> 5-Oxohexanoic acid",C01066 + C00001 <=> C02129,3.7.1.10,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.7  Acting on carbon-carbon bonds///   3.7.1  In ketonic substances///    3.7.1.10///     R03211  Cyclohexane-1,3-dione + H2O <=> 5-Oxohexanoic acid",16476,,RC00881  C01066_C02129,,,,,
R03212,3-hydroxycyclohexanone:acceptor 1-oxidoreductase,"3-Hydroxycyclohexanone + Acceptor <=> Cyclohexane-1,3-dione + Reduced acceptor",C03228 + C00028 <=> C01066 + C00030,1.1.99.26,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.99  With unknown physiological acceptors///    1.1.99.26///     R03212  3-Hydroxycyclohexanone + Acceptor <=> Cyclohexane-1,3-dione + Reduced acceptor",15908,,RC00144  C01066_C03228,,,,,
R03213,UDPglucose:thiohydroximate S-beta-D-glucosyltransferase,UDP-glucose + Phenylacetothiohydroximate <=> UDP + Desulfoglucotropeolin,C00029 + C03719 <=> C00015 + C01069,2.4.1.195,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.195///     R03213  UDP-glucose + Phenylacetothiohydroximate <=> UDP + Desulfoglucotropeolin///Glycosyltransferase reactions [BR:br08203]/// Glucosyltransferase reactions///  R03213  Glc b1- S-PATH,13760,,RC00005  C00015_C00029///RC00882  C01069_C03719,rn00966: Glucosinolate biosynthesis///rn01110: Biosynthesis of secondary metabolites///rn01210: 2-Oxocarboxylic acid metabolism,N-hydroxythioamide S-beta-glucosyltransferase [EC:2.4.1.195],,,
R03214,3'-phosphoadenylylsulfate:desulfoglucosinolate sulfotransferase,"3'-Phosphoadenylyl sulfate + Desulfoglucotropeolin <=> Adenosine 3',5'-bisphosphate + Glucotropaeolin",C00053 + C01069 <=> C00054 + C02153,2.8.2.24,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.8  Transferring sulfur-containing groups///   2.8.2  Sulfotransferases///    2.8.2.24///     R03214  3'-Phosphoadenylyl sulfate + Desulfoglucotropeolin <=> Adenosine 3',5'-bisphosphate + Glucotropaeolin",20284,,RC00007  C00053_C00054///RC00883  C01069_C02153,rn00966: Glucosinolate biosynthesis///rn01110: Biosynthesis of secondary metabolites///rn01210: 2-Oxocarboxylic acid metabolism,aromatic desulfoglucosinolate sulfotransferase [EC:2.8.2.24],,,
R03215,formate:ferricytochrome-c-553 oxidoreductase,Formate + 2 Ferricytochrome c-553 <=> CO2 + 2 Ferrocytochrome c-553 + H+,C00058 + 2 C01070 <=> C00011 + 2 C01071 + C00080,1.17.2.3,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.17  Acting on CH or CH2 groups///   1.17.2  With a cytochrome as acceptor///    1.17.2.3///     R03215  Formate + 2 Ferricytochrome c-553 <=> CO2 + 2 Ferrocytochrome c-553 + H+,15192,,RC02796  C00011_C00058,,,,,
R03216,"N,6-O-disulfo-D-glucosamine 6-sulfohydrolase","N,6-O-Disulfo-D-glucosamine + H2O <=> N-Sulfo-D-glucosamine + Sulfate",C03789 + C00001 <=> C01075 + C00059,3.1.6.11,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.6  Sulfuric-ester hydrolases///    3.1.6.11///     R03216  N,6-O-Disulfo-D-glucosamine + H2O <=> N-Sulfo-D-glucosamine + Sulfate",15520,,RC00134  C01075_C03789,,,,,
R03217,O-acetyl-L-homoserine succinate-lyase (adding cysteine),O-Acetyl-L-homoserine + L-Cysteine <=> L-Cystathionine + Acetate,C01077 + C00097 <=> C02291 + C00033,2.5.1.48,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.48///     R03217  O-Acetyl-L-homoserine + L-Cysteine <=> L-Cystathionine + Acetate",30934,,RC00020  C00033_C01077///RC00069  C00097_C02291///RC02866  C01077_C02291,rn00270: Cysteine and methionine metabolism///rn01100: Metabolic pathways,cystathionine gamma-synthase [EC:2.5.1.48],,,
R03218,"procollagen-L-proline,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)",Procollagen L-proline + 2-Oxoglutarate + Oxygen <=> Procollagen trans-3-hydroxy-L-proline + Succinate + CO2,C01078 + C00026 + C00007 <=> C04397 + C00042 + C00011,1.14.11.7,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.11  With 2-oxoglutarate as one donor, and incorporation of one atom of oxygen into each donor///    1.14.11.7///     R03218  Procollagen L-proline + 2-Oxoglutarate + Oxygen <=> Procollagen trans-3-hydroxy-L-proline + Succinate + CO2",22875,,RC00661  C01078_C04397,,,,,
R03219,"procollagen-L-proline,2-oxoglutarate:oxygen oxidoreductase (4-hydroxylating)",Procollagen L-proline + 2-Oxoglutarate + Oxygen <=> Procollagen trans-4-hydroxy-L-proline + Succinate + CO2,C01078 + C00026 + C00007 <=> C04398 + C00042 + C00011,1.14.11.2,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.11  With 2-oxoglutarate as one donor, and incorporation of one atom of oxygen into each donor///    1.14.11.2///     R03219  Procollagen L-proline + 2-Oxoglutarate + Oxygen <=> Procollagen trans-4-hydroxy-L-proline + Succinate + CO2",18948,,RC00478  C01078_C04398,,,,,
R03220,coproporphyrinogen:oxygen oxidoreductase (decarboxylating),Coproporphyrinogen III + Oxygen <=> Protoporphyrinogen IX + 2 CO2 + 2 H2O,C03263 + C00007 <=> C01079 + 2 C00011 + 2 C00001,1.3.3.3,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.3  Acting on the CH-CH group of donors///   1.3.3  With oxygen as acceptor///    1.3.3.3///     R03220  Coproporphyrinogen III + Oxygen <=> Protoporphyrinogen IX + 2 CO2 + 2 H2O,18260,multi-step reaction,RC00884  C01079_C03263,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors,coproporphyrinogen III oxidase [EC:1.3.3.3],"Heme biosynthesis, plants and bacteria, glutamate => heme///Heme biosynthesis, animals and fungi, glycine => heme",,
R03222,protoporphyrinogen-IX:oxygen oxidoreductase,Protoporphyrinogen IX + 3 Oxygen <=> Protoporphyrin + 3 Hydrogen peroxide,C01079 + 3 C00007 <=> C02191 + 3 C00027,1.3.3.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.3  Acting on the CH-CH group of donors///   1.3.3  With oxygen as acceptor///    1.3.3.4///     R03222  Protoporphyrinogen IX + 3 Oxygen <=> Protoporphyrin + 3 Hydrogen peroxide,25579,multi-step reaction,RC00885  C01079_C02191///RC02755  C00007_C00027,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors,protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15],"Heme biosynthesis, plants and bacteria, glutamate => heme///Heme biosynthesis, animals and fungi, glycine => heme",,
R03223,2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate,C04752 + C04327 <=> C00013 + C01081,2.5.1.3,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.3///     R03223  4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate",22331,,RC00224  C01081_C04327///RC03397  C01081_C04752,rn00730: Thiamine metabolism///rn01100: Metabolic pathways///rn01240: Biosynthesis of cofactors,thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]///hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]///thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase [EC:2.5.1.3 2.7.1.50]///hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]///thiamine-phosphate diphosphorylase [EC:2.5.1.3],"Thiamine salvage pathway, HMP/HET => TMP",,
R03224,(3R)-3-hydroxyacyl-CoA hydro-lyase,"(3R)-3-Hydroxyacyl-CoA <=> cis-2,3-Dehydroacyl-CoA + H2O",C01086 <=> C01122 + C00001,4.2.1.17,"Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.2  Carbon-oxygen lyases///   4.2.1  Hydro-lyases///    4.2.1.17///     R03224  (3R)-3-Hydroxyacyl-CoA <=> cis-2,3-Dehydroacyl-CoA + H2O",,,RC00770  C01086_C01122,,,,,
R03225,(S)-3-hydroxybutanoate:2-oxoglutarate oxidoreductase,(S)-3-Hydroxybutanoate + 2-Oxoglutarate <=> Acetoacetate + (R)-2-Hydroxyglutarate,C03197 + C00026 <=> C00164 + C01087,1.1.99.24,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.99  With unknown physiological acceptors///    1.1.99.24///     R03225  (S)-3-Hydroxybutanoate + 2-Oxoglutarate <=> Acetoacetate + (R)-2-Hydroxyglutarate,23051,,RC00031  C00026_C01087///RC00117  C00164_C03197,,,,,
R03226,16alpha-hydroxysteroid:NAD+ 16-oxidoreductase,16alpha-Hydroxysteroid + NAD+ <=> 16-Oxosteroid + NADH + H+,C01090 + C00003 <=> C01986 + C00004 + C00080,1.1.1.147,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.1  With NAD+ or NADP+ as acceptor///    1.1.1.147///     R03226  16alpha-Hydroxysteroid + NAD+ <=> 16-Oxosteroid + NADH + H+,19864,general reaction///NADP+ (see R03227),RC00001  C00003_C00004///RC00144  C01090_C01986,,,,,
R03227,16alpha-hydroxysteroid:NADP+ 16-oxidoreductase,16alpha-Hydroxysteroid + NADP+ <=> 16-Oxosteroid + NADPH + H+,C01090 + C00006 <=> C01986 + C00005 + C00080,1.1.1.147,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.1  With NAD+ or NADP+ as acceptor///    1.1.1.147///     R03227  16alpha-Hydroxysteroid + NADP+ <=> 16-Oxosteroid + NADPH + H+,19860,general reaction///NAD+ (see R03226),RC00001  C00005_C00006///RC00144  C01090_C01986,,,,,
