ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R11989,"ferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase",Ferruginol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Pisiferic acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O,C09092 + 3 C03024 + 3 C00007 <=> C09163 + 3 C03161 + 4 C00001,1.14.14.61,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.61///     R11989  Ferruginol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> Pisiferic acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O",,,RC01952  C09092_C09163,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,carnosic acid synthase [EC:1.14.14.61],,,
R11990,"11-hydroxyferruginol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (11-hydroxysugiol forming)",11-Hydroxyferruginol + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 11-Hydroxysugiol + 2 [Oxidized NADPH---hemoprotein reductase] + 3 H2O,C21796 + 2 C03024 + 2 C00007 <=> C21823 + 2 C03161 + 3 C00001,1.14.14.65,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.14  With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.14.65///     R11990  11-Hydroxyferruginol + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> 11-Hydroxysugiol + 2 [Oxidized NADPH---hemoprotein reductase] + 3 H2O",55463,,RC03512  C21796_C21823,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,ferruginol monooxygenase / sugiol synthase [EC:1.14.14.60 1.14.14.65],,,
R11991,,"(2R,3S,4S)-Leucoanthocyanidin + 2-Oxoglutarate + Oxygen <=> (4S)- 2,3-Dehydroflavan-3,4-diol + Succinate + CO2 + H2O",C21418 + C00026 + C00007 <=> C21832 + C00042 + C00011 + C00001,1.14.20.4,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.20  With 2-oxoglutarate as one donor, and the other dehydrogenated///    1.14.20.4///     R11991  (2R,3S,4S)-Leucoanthocyanidin + 2-Oxoglutarate + Oxygen <=> (4S)- 2,3-Dehydroflavan-3,4-diol + Succinate + CO2 + H2O",,"the first step of two-step reaction (see R11993, R11991+R11992)",,,,,,
R11992,,"(4S)- 2,3-Dehydroflavan-3,4-diol + H+ <=> Anthocyanidin with a 3-hydroxy group + H2O",C21832 + C00080 <=> C21381 + C00001,1.14.20.4,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.20  With 2-oxoglutarate as one donor, and the other dehydrogenated///    1.14.20.4///     R11992  (4S)- 2,3-Dehydroflavan-3,4-diol + H+ <=> Anthocyanidin with a 3-hydroxy group + H2O",,"the second step of two-step reaction (see R11993, R11991+R11992)",,,,,,
R11993,"(2R,3S,4S)-leucoanthocyanidin,2-oxoglutarate:oxygen oxidoreductase","(2R,3S,4S)-Leucoanthocyanidin + 2-Oxoglutarate + Oxygen + H+ <=> Anthocyanidin with a 3-hydroxy group + Succinate + CO2 + 2 H2O",C21418 + C00026 + C00007 + C00080 <=> C21381 + C00042 + C00011 + 2 C00001,1.14.20.4,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.20  With 2-oxoglutarate as one donor, and the other dehydrogenated///    1.14.20.4///     R11993  (2R,3S,4S)-Leucoanthocyanidin + 2-Oxoglutarate + Oxygen + H+ <=> Anthocyanidin with a 3-hydroxy group + Succinate + CO2 + 2 H2O///IUBMB reaction hierarchy [BR:br08202]/// 1. Oxidoreductase reactions///  1.14.20.4///   R11993  (2R,3S,4S)-Leucoanthocyanidin <=> Anthocyanidin with a 3-hydroxy group",,two-step reaction (see R11991+R11992),RC01114  C21381_C21418,,,,,
R11994,,GDP-D-mannose + Triacylated phosphatidyl-myo-inositol dimannoside <=> GDP + Triacylated phosphatidyl-myo-inositol trimannoside,G10614 + G13108 <=> G10620 + G13103,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R11994  GDP-D-mannose + Triacylated phosphatidyl-myo-inositol dimannoside <=> GDP + Triacylated phosphatidyl-myo-inositol trimannoside///Glycosyltransferase reactions [BR:br08203]/// Mannosyltransferase reactions///  R11994  Man a1-6 Man,,,,rn00571: Lipoarabinomannan (LAM) biosynthesis///rn01100: Metabolic pathways,"alpha-1,6-mannosyltransferase [EC:2.4.1.-]",,,
R11995,,GDP-D-mannose + Tetraacylated phosphatidyl-myo-inositol dimannoside <=> GDP + Tetraacylated phosphatidyl-myo-inositol trimannoside,G10614 + G13109 <=> G10620 + G13110,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R11995  GDP-D-mannose + Tetraacylated phosphatidyl-myo-inositol dimannoside <=> GDP + Tetraacylated phosphatidyl-myo-inositol trimannoside///Glycosyltransferase reactions [BR:br08203]/// Mannosyltransferase reactions///  R11995  Man a1-6 Man,,,,rn00571: Lipoarabinomannan (LAM) biosynthesis,"alpha-1,6-mannosyltransferase [EC:2.4.1.-]",,,
R11996,(S)-lactate:oxygen 2-oxidoreductase,(S)-Lactate + Oxygen <=> Pyruvate + Hydrogen peroxide,C00186 + C00007 <=> C00022 + C00027,1.1.3.2,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.2///     R11996  (S)-Lactate + Oxygen <=> Pyruvate + Hydrogen peroxide,,,RC00044  C00022_C00186,,,,,
R11997,,beta-D-Mannosylphosphodecaprenol + Triacylated phosphatidyl-myo-inositol tetramannoside <=> Decaprenol phosphate + Triacylated phosphatidyl-myo-inositol pentamannoside,C04150 + G13104 <=> C02970 + G13105,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R11997  beta-D-Mannosylphosphodecaprenol + Triacylated phosphatidyl-myo-inositol tetramannoside <=> Decaprenol phosphate + Triacylated phosphatidyl-myo-inositol pentamannoside///Glycosyltransferase reactions [BR:br08203]/// Mannosyltransferase reactions///  R11997  Man a1-2 Man,,,,rn00571: Lipoarabinomannan (LAM) biosynthesis///rn01100: Metabolic pathways,"alpha-1,2-mannosyltransferase [EC:2.4.1.-]",,,
R11998,,beta-D-Mannosylphosphodecaprenol + Tetraacylated phosphatidyl-myo-inositol tetramannoside <=> Decaprenol phosphate + Tetraacylated phosphatidyl-myo-inositol pentamannoside,C04150 + G13111 <=> C02970 + G13113,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R11998  beta-D-Mannosylphosphodecaprenol + Tetraacylated phosphatidyl-myo-inositol tetramannoside <=> Decaprenol phosphate + Tetraacylated phosphatidyl-myo-inositol pentamannoside,,,,rn00571: Lipoarabinomannan (LAM) biosynthesis,"alpha-1,2-mannosyltransferase [EC:2.4.1.-]",,,
