"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"30567","TUBA4A","tubulin alpha 4a [KO:K07374]","tubulin alpha 4a","tubulin alpha 4a [KO:K07374]","7277","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30568","TUBA3C","tubulin alpha 3c [KO:K07374]","tubulin alpha 3c","tubulin alpha 3c [KO:K07374]","7278","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30569","TUBA1A","tubulin alpha 1a [KO:K07374]","tubulin alpha 1a","tubulin alpha 1a [KO:K07374]","7846","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30570","TUBA1C","tubulin alpha 1c [KO:K07374]","tubulin alpha 1c","tubulin alpha 1c [KO:K07374]","84790","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30571","TUBA8","tubulin alpha 8 [KO:K07374]","tubulin alpha 8","tubulin alpha 8 [KO:K07374]","51807","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30572","TUBA3E","tubulin alpha 3e [KO:K07374]","tubulin alpha 3e","tubulin alpha 3e [KO:K07374]","112714","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30573","TUBA3D","tubulin alpha 3d [KO:K07374]","tubulin alpha 3d","tubulin alpha 3d [KO:K07374]","113457","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30574","TUBAL3","tubulin alpha like 3 [KO:K07374]","tubulin alpha like 3","tubulin alpha like 3 [KO:K07374]","79861","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30575","TUBB6","tubulin beta 6 class V [KO:K07375]","tubulin beta 6 class V","tubulin beta 6 class V [KO:K07375]","84617","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30576","TUBB","tubulin beta class I [KO:K07375]","tubulin beta class I","tubulin beta class I [KO:K07375]","203068","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30577","TUBB1","tubulin beta 1 class VI [KO:K07375]","tubulin beta 1 class VI","tubulin beta 1 class VI [KO:K07375]","81027","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30578","TUBB2A","tubulin beta 2A class IIa [KO:K07375]","tubulin beta 2A class IIa","tubulin beta 2A class IIa [KO:K07375]","7280","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30579","TUBB3","tubulin beta 3 class III [KO:K07375]","tubulin beta 3 class III","tubulin beta 3 class III [KO:K07375]","10381","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
